id,competencia,fecha,tipo_registro,estatus,tipo_victima,sexo,materia
80,Federal,2016-06-02,Fud,Folio Asignado,Directa,Hombre,Delito
81,Federal,2016-06-02,Fud,Folio Asignado,Indirecta,Mujer,Delito
82,Federal,2016-01-05,Fud,Folio Asignado,Indirecta,Mujer,Delito
83,Federal,2016-01-05,Fud,Folio Asignado,Indirecta,Hombre,Delito
84,Federal,2016-04-22,Fud,Folio Asignado,Directa,Mujer,Delito
85,Federal,2016-04-22,Fud,Folio Asignado,Indirecta,Mujer,Delito
86,Federal,2015-11-23,Fud,Folio Asignado,Indirecta,Mujer,Delito
87,Federal,2016-06-29,Fud,Folio Asignado,Indirecta,Mujer,Delito
88,Federal,2016-06-02,Fud,Folio Asignado,Directa,Hombre,Delito
89,Federal,2016-08-26,Fud,Folio Asignado,Directa,Hombre,Delito
90,Federal,2015-11-23,Fud,Folio Asignado,Indirecta,Mujer,Delito
91,Federal,2015-11-23,Fud,Folio Asignado,Indirecta,Mujer,Ambas
92,Federal,2015-09-17,Fud,Folio Asignado,Directa,Hombre,Delito
93,Federal,2015-09-17,Fud,Folio Asignado,Directa,Hombre,Delito
94,Federal,2015-09-17,Fud,Folio Asignado,Indirecta,Hombre,Delito
95,Federal,2017-07-24,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
96,Federal,2016-02-09,Fud,Folio Asignado,Indirecta,Mujer,Ambas
97,Federal,2017-07-24,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
98,Federal,2017-07-24,Fud,Folio Asignado,Directa,Hombre,Violaciones
99,Federal,2016-08-03,Fud,Folio Asignado,Indirecta,Mujer,Ambas
100,Federal,2016-02-10,Fud,Folio Asignado,Directa,Hombre,Ambas
101,Federal,2016-08-03,Fud,Folio Asignado,Directa,Hombre,Delito
102,Federal,2016-08-03,Fud,Folio Asignado,Indirecta,Mujer,Delito
103,Federal,2016-02-10,Fud,Folio Asignado,Indirecta,Mujer,Ambas
104,Federal,2015-12-17,Fud,Folio Asignado,Indirecta,Mujer,En Analisis
105,Federal,2015-12-17,Fud,Folio Asignado,Indirecta,Hombre,En Analisis
106,Federal,2015-12-17,Fud,Folio Asignado,Indirecta,Hombre,En Analisis
107,Federal,2015-12-17,Fud,Folio Asignado,Indirecta,Hombre,En Analisis
108,Federal,2015-12-17,Fud,Folio Asignado,Indirecta,Mujer,En Analisis
109,Federal,2018-08-31,Fud,Folio Asignado,Indirecta,Mujer,Delito
110,Federal,2016-06-29,Fud,Folio Asignado,Indirecta,Hombre,Delito
111,Federal,2016-03-10,Fud,Folio Asignado,Indirecta,Mujer,Delito
112,Federal,2016-03-10,Fud,Folio Asignado,Indirecta,Mujer,Delito
113,Federal,2016-03-10,Fud,Folio Asignado,Directa,Hombre,Delito
114,Federal,2016-03-07,Fud,Folio Asignado,Indirecta,Mujer,Delito
115,Federal,2016-03-07,Fud,Folio Asignado,Directa,Hombre,Delito
116,Federal,2016-02-09,Fud,Folio Asignado,Indirecta,Mujer,Ambas
117,Federal,2016-06-29,Fud,Folio Asignado,Indirecta,Hombre,Ambas
118,Federal,2016-02-10,Fud,Folio Asignado,Indirecta,Mujer,En Analisis
119,Federal,2016-02-03,Fud,Folio Asignado,Directa,Hombre,En Analisis
120,Federal,2016-06-08,Fud,Folio Asignado,Indirecta,Mujer,Ambas
121,Federal,2015-11-27,Fud,Folio Asignado,Indirecta,Hombre,Ambas
122,Federal,2016-01-05,Fud,Folio Asignado,Directa,Hombre,Delito
123,Federal,2016-01-05,Fud,Folio Asignado,Indirecta,Mujer,Delito
124,Federal,2016-01-05,Fud,Folio Asignado,Indirecta,Hombre,Delito
125,Federal,2017-08-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
126,Federal,2015-12-17,Fud,Folio Asignado,Indirecta,Mujer,Ambas
127,Federal,2017-05-22,Fud,Folio Asignado,Indirecta,Mujer,Delito
128,Federal,2017-05-22,Fud,Folio Asignado,Indirecta,Mujer,Delito
129,Federal,2017-05-22,Fud,Folio Asignado,Directa,Hombre,Delito
130,Federal,2017-05-22,Fud,Folio Asignado,Indirecta,Mujer,Delito
131,Federal,2017-05-22,Fud,Folio Asignado,Indirecta,Hombre,Delito
132,Federal,2017-08-18,Fud,Folio Asignado,Indirecta,Mujer,Delito
133,Federal,2017-08-18,Fud,Folio Asignado,Directa,Hombre,Delito
134,Federal,2017-08-18,Fud,Folio Asignado,Indirecta,Hombre,Delito
135,Federal,2015-12-17,Fud,Folio Asignado,Indirecta,Mujer,Delito
136,Federal,2018-11-16,Fud,Folio Asignado,Directa,Hombre,En Analisis
137,Federal,2018-11-16,Fud,Folio Asignado,Indirecta,Mujer,Delito
138,Federal,2017-09-29,Fud,Folio Asignado,Directa,Hombre,Delito
139,Federal,2019-01-31,Fud,Folio Asignado,Indirecta,Hombre,Delito
140,Federal,2019-01-31,Fud,Folio Asignado,Indirecta,Hombre,Delito
141,Federal,2019-01-31,Fud,Folio Asignado,Indirecta,Mujer,Delito
142,Federal,2017-10-17,Fud,Folio Asignado,Directa,Hombre,Ambas
143,Federal,2016-10-27,Fud,Folio Asignado,Directa,Hombre,Ambas
144,Federal,2016-10-27,Fud,Folio Asignado,Indirecta,Mujer,Ambas
145,Federal,2016-10-27,Fud,Folio Asignado,Indirecta,Hombre,Ambas
146,Federal,2016-10-27,Fud,Folio Asignado,Indirecta,Mujer,Ambas
147,Federal,2016-09-19,Fud,Folio Asignado,Directa,Hombre,Violaciones
148,Federal,2016-11-23,Fud,Folio Asignado,Directa,Mujer,Ambas
149,Federal,2016-11-23,Fud,Folio Asignado,Directa,Hombre,Ambas
150,Federal,2016-11-23,Fud,Folio Asignado,Directa,Mujer,Ambas
151,Federal,2016-11-23,Fud,Folio Asignado,Directa,Hombre,Delito
152,Federal,2016-11-23,Fud,Folio Asignado,Indirecta,Hombre,Delito
153,Federal,2016-11-23,Fud,Folio Asignado,Indirecta,Mujer,Delito
154,Federal,2016-11-23,Fud,Folio Asignado,Indirecta,Mujer,Delito
155,Federal,2016-10-07,Fud,Folio Asignado,Directa,Hombre,Delito
156,Federal,2016-10-07,Fud,Folio Asignado,Indirecta,Mujer,Delito
157,Federal,2018-04-23,Fud,Folio Asignado,Indirecta,Hombre,Delito
158,Federal,2019-01-31,Fud,Folio Asignado,Indirecta,Mujer,Delito
159,Federal,2016-09-19,Fud,Folio Asignado,Indirecta,Mujer,Ambas
160,Federal,2016-09-19,Fud,Folio Asignado,Directa,Hombre,Ambas
161,Federal,2016-09-19,Fud,Folio Asignado,Indirecta,Mujer,Delito
162,Federal,2016-09-19,Fud,Folio Asignado,Directa,Hombre,Delito
163,Federal,2017-10-25,Fud,Folio Asignado,Indirecta,Hombre,Delito
164,Federal,2016-09-19,Fud,Folio Asignado,Indirecta,Mujer,Delito
165,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Mujer,Delito
166,Federal,2016-09-30,Fud,Folio Asignado,Directa,Hombre,Delito
167,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
168,Federal,2016-09-30,Fud,Folio Asignado,Directa,Hombre,Delito
169,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
170,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
171,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
172,Federal,2016-09-30,Fud,Folio Asignado,Directa,Mujer,Ambas
173,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Mujer,Ambas
174,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Mujer,Ambas
175,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Hombre,Ambas
176,Federal,2017-06-13,Fud,Folio Asignado,Indirecta,Hombre,Delito
177,Federal,2016-09-21,Fud,Folio Asignado,Directa,Hombre,Delito
178,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
179,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
180,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Hombre,Delito
181,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
182,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
183,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Ambas
184,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Ambas
185,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Ambas
186,Federal,2016-09-21,Fud,Folio Asignado,Directa,Mujer,Ambas
187,Federal,2016-09-21,Fud,Folio Asignado,Directa,Mujer,Delito
188,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
189,Federal,2016-09-21,Fud,Folio Asignado,Directa,Hombre,Delito
190,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
191,Federal,2016-09-21,Fud,Folio Asignado,Indirecta,Hombre,Delito
192,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
193,Federal,2016-09-30,Fud,Folio Asignado,Directa,Hombre,Delito
194,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
195,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
196,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
197,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
198,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
199,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
200,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
201,Federal,2016-08-16,Fud,Folio Asignado,Directa,Mujer,Violaciones
202,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
203,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Ambas
204,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
205,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
206,Federal,2016-08-16,Fud,Folio Asignado,Directa,Mujer,Violaciones
207,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
208,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
209,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
210,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
211,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
212,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
213,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
214,Federal,2016-08-16,Fud,Folio Asignado,Directa,Mujer,Violaciones
215,Federal,2016-08-16,Fud,Folio Asignado,Directa,Mujer,Violaciones
216,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
217,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
218,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
219,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
220,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
221,Federal,2016-08-16,Fud,Folio Asignado,Directa,Mujer,Violaciones
222,Federal,2016-08-16,Fud,Folio Asignado,Directa,Mujer,Violaciones
223,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
224,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
225,Federal,2016-08-16,Fud,Folio Asignado,Directa,Hombre,Violaciones
